id,book_id,name,author_id,author_name,rank
421,293045,神雕侠侣之李莫愁,132648,阿豆,18.6092
422,1438637,重生之嫁给老男人,675138,落雨秋寒,18.6079
423,1508143,随身空间之重生红色年代,835253,夏天的夜空,18.5432
424,223387,不幸中奖,70081,血色琉璃猫,18.5312
425,1187267,在盗文里放征婚启事的男人你们伤不起,444001,掩面娘,18.5245
426,61564,红牡丹,49150,洛阳书生,18.5089
427,1735490,红楼小婢,822554,双面人,18.4834
428,451551,一本日记引发的奸/情,325705,沙梓,18.4648
429,1028813,穿越杂事儿,247806,灵犀阁主,18.4639
430,1207510,不侍寝？砍了！,119413,蓝艾草,18.4078
431,309111,将错就错嫁了吧,200405,东篱菊隐,18.4056
432,152623,穿越，没有理由,126801,ansley_amanda,18.3813
433,876735,洞房花烛 隔壁,122330,叶落无心,18.3754
434,1479604,肥鸟当自强,89323,lililicat,18.3669
435,757861,还珠之永璂和乾隆,439429,缘明轻,18.3262
436,1534210,重生炼丹师,555125,忘雪温,18.3248
437,502638,天龙之花开无涯,353718,黑吃黑,18.3092
438,738221,植物人的杯具人生,330490,紫叶枫林,18.3084
439,1767160,大着肚子奔小康,680395,公子寻欢,18.2782
440,300994,我以千面候君心,237629,御前承墨,18.2364
441,659896,穿越还珠看大戏,382932,数字兵团,18.2308
442,395655,从奴到王——穿越女本纪,291369,红日起,18.2036
443,1673146,镇魂,145956,priest,18.1934
444,799489,[综琼瑶]乾隆王朝一锅炖,306849,Aaron,18.1864
445,314045,孽恋,236154,yy水月,18.1008
446,11190,竹枝词,12399,季风,18.0862
447,724713,新月同人之雁姬,132648,阿豆,18.0609
448,1532582,138号异兽萌宠店,686098,打僵尸,18.019
449,358042,一霎移魂变古今,270328,夜有轻寒,18.0144
450,171872,借借你的爱,139232,自由行走andrea,17.9847
451,754912,剩女修真记,471401,林果果,17.9821
452,971021,周芷若重生,534071,风倾玉,17.9606
453,1802867,丧尸他后妈（穿越末世肉文）,561949,总攻大人,17.9464
454,1660963,回眸一笑JQ起（高干）,563701,东奔西顾,17.9443
455,256079,猎人-我的名字叫雷奥力,213370,露雪霜,17.9393
456,1185554,穿越之农妇难为,675138,落雨秋寒,17.9307
457,635177,（综漫）史上最强神祗,88941,响月,17.8907
458,148316,续步步惊心(上),121114,玉朵朵,17.8827
459,635072,小花鼓,48075,颜凉雨,17.8547
460,921563,穿越之韬光养晦,257170,小晚,17.8463
461,561641,『猎人』末红,328964,偷闲,17.8389
462,384351,网王---夕夏,210246,颜语歆,17.818
463,159871,浴火凤凰,102242,愁云,17.806
464,131918,我要跟你走,107398,月上玲珑,17.7994
465,387921,yn,123587,芙蓉三变,17.7912
466,108809,天使的微笑,87814,风妃,17.7847
467,1476246,他的劫,90716,尼罗,17.7757
468,602273,重生之酒色贪杯,73836,柔の千舞,17.7234
469,720164,恶兄在身边,89323,lililicat,17.6999
470,502024,九州·华胥引,247089,唐七公子,17.6764
471,454823,烟树隐隐,256098,草芯人,17.6426
472,632945,[伪综漫]我是富江,333457,鲨鱼子,17.6423
473,748124,[HP]你误会了(德拉科同人),339315,碧眼狐狸,17.6381
474,532697,（HP）魔法界的生活,369232,夏夜的小猪,17.582
